Month,TWP90 (%),Outstanding Pinjaman (miliar RP),BI-7Day-RR,Inflasi,PDB (miliar Rp),Pertumbuhan Outstanding (YoY% atau MoM%),Indeks Keyakinan Konsumen (IKK),Nilai Tukar Rupiah terhadap USD
2018-01-31,0.0128,3002549937229,0.0425,0.0325,3510363.0,0.1803957179832541,126,13413
2018-02-28,0.0078,3544197088936,0.0425,0.0318,3565882.595505618,0.1803957179832541,123,13707
2018-03-31,0.0055,4472894540572,0.0425,0.034,3627350.7191011235,0.26203324147382656,122,13756
2018-04-30,0.0053,5415770427901,0.0425,0.0341,3686836.0,0.2107977013042708,122,13877
2018-05-31,0.00639143053123001,6160117010747,0.0475,0.0323,3739235.097826087,0.13744057152261674,125,13951
2018-06-30,0.00792687344256759,7635474172634,0.0525,0.0312,3789943.902173913,0.23950148338303925,128,14404
2018-07-31,0.0139804260155986,9213822178648,0.0525,0.0318,3842343.0,0.20671250669289074,125,14413
2018-08-31,0.0188817162177034,11684862177651,0.055,0.032,3827810.402173913,0.2681883751489537,122,14711
2018-09-30,0.01200204,13834316215007,0.0575,0.0288,3813746.597826087,0.1839520231113332,122,14929
2018-10-31,0.01200204,15990143141355,0.0575,0.0316,3799214.0,0.15583183822337612,119,15227
2018-11-30,0.0152011215575921,19055551572805,0.06,0.0323,3793802.586956522,0.1917061282285831,123,14339
2018-12-31,0.0145424712798673,22666069500288,0.06,0.0313,3788210.7934782607,0.18947328360915702,127,14481
2019-01-31,0.016799354569034218,5697890128398,0.06,0.0282,3782619.0,0.8976837180121912,126,14072
2019-02-28,0.03182300523027652,7050951764153,0.06,0.0257,3839706.2808988765,0.9894355723512429,125,14062
2019-03-31,0.02622223247840895,7785150284620,0.06,0.0248,3902910.0561797754,0.7405172900911775,125,14244
2019-04-30,0.016338386813786472,8221300247520,0.06,0.0283,3964075.0,0.5180296796122402,128,14215
2019-05-31,0.0157,8319030394600,0.06,0.0332,3998876.8804347827,0.3504662947289051,128,14385
2019-06-30,0.01745552317691495,7959312246124,0.06,0.0328,4032556.1195652173,0.042412306841486704,126,14141
2019-07-31,0.025175775647322714,8731764060559,0.0575,0.0332,4067358.0,-0.052319016879457,125,14026
2019-08-31,0.0306,9685390128094,0.055,0.0349,4050930.695652174,-0.17111644272375598,123,14237
2019-09-30,0.0289,10180493678857,0.0525,0.0339,4035033.304347826,-0.2641129839280713,122,14174
2019-10-31,0.028368654183459623,11185930993481,0.05,0.0313,4018606.0,-0.30044835155033467,118,14008
2019-11-30,0.0351,12178708892781,0.05,0.03,3987543.6086956523,-0.3608839478484705,124,14102
2019-12-31,0.0365,13157156009827,0.05,0.0272,3955445.804347826,-0.4195219418320489,126,13901
2020-01-31,0.0398,13516951439081,0.05,0.0268,3923348.0,1.3722730931074274,122,13662
2020-02-29,0.0392,14495545332055,0.0475,0.0298,3848397.177777778,1.0558281799274636,118,14234
2020-03-31,0.042203536251389194,14792048894059,0.045,0.0296,3768277.3333333335,0.9000338276425467,114,16367
2020-04-30,0.0493,13749972823418,0.045,0.0267,3690742.0,0.6724815308339765,85,15157
2020-05-31,0.0613,12863508852653,0.045,0.0219,3760529.065217391,0.5462750155358111,78,14733
2020-06-30,0.0799,11766829755345,0.0425,0.0196,3828064.934782609,0.4783726773723663,84,14302
2020-07-31,0.061250130676245025,11939975073822,0.04,0.0154,3897852.0,0.36741842667902014,86,14653
2020-08-31,0.0882,12133146927815,0.04,0.0132,3909159.9239130435,0.25272671181524176,87,14554
2020-09-30,0.08274205662641876,12713513868482,0.04,0.0142,3920103.0760869565,0.24881113524834397,83,14918
2020-10-31,0.07581641010887462,13242533632445,0.04,0.0144,3931411.0,0.18385618865006037,79,14690
2020-11-30,0.07175646011614914,14095716591831,0.0375,0.0159,3944950.782608696,0.15740648010613978,92,14128
2020-12-31,0.0477615366133175,15319085394949,0.0375,0.0168,3958941.8913043477,0.16431585849611177,97,14105
2021-01-31,0.017750589570737052,16071748732578,0.0375,0.0155,3972933.0,0.18900691513253653,85,14084
2021-02-28,0.015901449971873594,16956153979349,0.035,0.0138,4037455.382022472,0.16974929821044304,86,14229
2021-03-31,0.0132292177038148,19038598856104,0.035,0.0137,4108890.8764044945,0.28708328321917337,93,14572
2021-04-30,0.013659039520470428,20612003820405,0.035,0.0142,4178022.0,0.4990577861579526,102,14468
2021-05-31,0.015384730088188525,21747678901944,0.035,0.0168,4228350.5,0.690649040713235,104,14310
2021-06-30,0.015282230032906297,23377903488805,0.035,0.0133,4277055.5,0.9867631277817843,107,14496
2021-07-31,0.018163314010610887,24216374883903,0.035,0.0152,4327384.0,1.0281763348900619,80,14491
2021-08-31,0.017698007889819678,26097865516417,0.035,0.0159,4385013.3369565215,1.1509560274579844,77,14374
2021-09-30,0.01896758842350188,27483980678117,0.035,0.016,4440783.6630434785,1.1617926375376346,96,14307
2021-10-31,0.021266251584854623,27905102004842,0.035,0.0166,4498413.0,1.1072328588596392,113,14199
2021-11-30,0.022437413234109083,29126900246215,0.035,0.0175,4501755.391304348,1.0663653427236994,119,14340
2021-12-31,0.02286931009464399,29880341377462,0.035,0.0187,4505209.195652174,0.9505303748299575,118,14269
2022-01-31,0.025178308599401844,31214904548182,0.035,0.0218,4508663.0,0.9422220361688638,120,14381
2022-02-28,0.02346090455824834,34635268361821,0.035,0.0206,4631161.112359551,1.042637051067329,113,14371
2022-03-31,0.02317789597431874,36622712381020,0.035,0.0264,4766784.02247191,0.9236033417069621,111,14349
2022-04-30,0.023065643857731577,38680815143512,0.035,0.0347,4898032.0,0.876615950615129,113,14418
2022-05-31,0.022838161443846206,40170047427097,0.035,0.0355,4954956.0869565215,0.8470958490888076,129,14544
2022-06-30,0.025253639507512582,44340261781550,0.035,0.0435,5010043.9130434785,0.896674002559009,128,14848
2022-07-31,0.02665960465235573,45729926957573,0.035,0.0494,5066968.0,0.8883886286369969,123,14958
2022-08-31,0.02885498950310561,47230205446525,0.0375,0.0469,5083084.293478261,0.8097344174302143,125,14875
2022-09-30,0.030707622875293383,48738687089588,0.0425,0.0595,5098680.706521739,0.77334890678315,117,15247
2022-10-31,0.02896296294714462,49335054063689,0.0475,0.0571,5114797.0,0.7679582054610854,120,15542
2022-11-30,0.028332705174675454,50296758532106,0.0525,0.0542,5100677.434782608,0.726814666405911,119,15737
2022-12-31,0.02779752587225559,51122844005170,0.055,0.0551,5086087.217391305,0.7109190072283007,120,15731
2023-01-31,0.02753471985234679,51026482229644,0.0575,0.0528,5071497.0,0.6346832696823305,123,14979
2023-02-28,0.026866022771735998,50088897654204,0.0575,0.0547,5119252.101123596,0.44618188405370574,122,15274
2023-03-31,0.028083219350971467,51019817666326,0.0575,0.0497,5172123.820224719,0.3931195793342551,123,15062
2023-04-30,0.02819341216249094,50531954889391,0.0575,0.0433,5223290.0,0.306382885208323,126,14751
2023-05-31,0.03359506767784248,51462342441128,0.0575,0.04,5247420.467391305,0.28111231470475434,128,14969
2023-06-30,0.032911546699106564,52701149743202,0.0575,0.0352,5270772.532608695,0.18856198916558875,127,15026
2023-07-31,0.03471974948644707,55977239661267,0.0575,0.0308,5294903.0,0.22408329480169917,124,15083
2023-08-31,0.028806422732007397,53115861001682,0.0575,0.0327,5297516.097826087,0.12461634455138797,125,15239
2023-09-30,0.02821674067084834,55697248714862,0.0575,0.0228,5300044.902173913,0.1427728574732279,122,15526
2023-10-31,0.028854382447347615,58049899093542,0.06,0.0256,5302658.0,0.1766461027609818,124,15916
2023-11-30,0.028052256636967865,59381729739517,0.06,0.0286,5298066.369565218,0.18062736988531333,124,15384
2023-12-31,0.029304075844239552,59644480512310,0.06,0.0261,5293321.684782608,0.16668940613472552,124,15416
2024-01-31,0.029521278379125215,60416940540393,0.06,0.0257,5288577.0,0.18403107367831803,125,15796
2024-02-29,0.029460708101422872,61097631517929,0.06,0.0275,5368491.977777778,0.21978391179070056,123,15673
2024-03-31,0.029417113120258076,62166430403724,0.06,0.0305,5453918.333333333,0.21847613823902326,124,15853
2024-04-30,0.027931034464164006,62739288430843,0.0625,0.03,5536589.0,0.24157651466626487,128,16249
2024-05-31,0.029137258448831416,64556157500516,0.0625,0.0284,5571052.9130434785,0.2544348826400021,125,16253
2024-06-30,0.027863169771754404,66788531809704,0.0625,0.0251,5604405.0869565215,0.26730692091436115,123,16421
2024-07-31,0.025305873593465575,69393360004985,0.0625,0.0213,5638869.0,0.23967098815344368,123,16320
2024-08-31,0.02375644218361054,72033441030896,0.0625,0.0212,5651019.989130435,0.35615689310985554,124,15409
2024-09-30,0.023751093887292896,74484239729669,0.06,0.0184,5662779.010869565,0.3373055482683827,124,15138
2024-10-31,0.02366843359735509,75019479116667,0.06,0.0171,5674930.0,0.29232746805950693,121,15732
2024-11-30,0.025170573630898595,75604120890711,0.06,0.0155,5674930.0,0.27318825541719477,126,15864
2024-12-31,0.02604108235049351,77024241781294,0.06,0.0157,5674930.0,0.2913892638464174,128,16162
2025-01-31,0.025206871581160827,78504584980667,0.0575,0.0076,5665947.0,0.29938034396463903,127,16259
2025-02-28,0.02777971803567158,81173681372535,0.0575,-0.0009,5665947.0,0.3285896581558111,126,16431
2025-03-31,0.02772836459107682,79965981008651,0.0575,0.0103,5665947.0,0.2863209370287528,121,16588
2025-04-30,0.029296567329867896,80881561186837,0.0575,0.0195,5947527.0,0.289169246412351,122,16787
2025-05-31,0.0319015312599333,82530269925780,0.055,0.016,5947527.0,0.2784259956166123,118,16255
2025-06-30,0.028474610822784293,83468007827248,0.055,0.0187,5947527.0,0.24973562924047638,118,16233
2025-07-31,0.027140908903441154,84541571116363,0.0525,0.0237,6060392.0,0.21829482115132917,118,16387
2025-08-31,0.025723566158117255,87485025239934,0.05,0.0231,6060392.0,0.21450570718134418,117,16356
2025-09-30,0.0282,90907742286059,0.0475,0.0265,6060392.0,0.22049634413933736,115,16680
2025-10-31,0.0276,92832389239213,0.0475,0.0286,6147239.0,0.23744379902777177,121,16640
2025-11-30,0.0433,94817558274341,0.0475,0.0272,6147239.0,0.2541321446142314,124,16644
2025-12-31,0.0432,96617431248566,0.0475,0.0292,6147239.0,0.2543769210076194,124,16782
